371,23K643,BROOKLYN DEMOCRACY ACADEMY
372,23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL
373,23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL
374,23K697,TEACHERS PREPARATORY HIGH SCHOOL
375,24Q264,ACADEMY OF FINANCE AND ENTERPRISE
376,24Q267,HIGH SCHOOL OF APPLIED COMMUNICATION
377,24Q293,CIVIC LEADERSHIP ACADEMY
378,24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOOL
379,24Q299,BARD HIGH SCHOOL EARLY COLLEGE II
380,24Q455,NEWTOWN HIGH SCHOOL
381,24Q457,YOUNG ADULT BOROUGH CENTER AT ARTS AND BUSINESS HS
382,24Q485,GROVER CLEVELAND HIGH SCHOOL
383,24Q520,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE
384,24Q530,INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE
385,24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS
386,24Q560,"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY"
387,24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL
388,24Q610,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL
389,24Q744,VOYAGES PREPARATORY
390,25Q252,"QUEENS SCHOOL OF INQUIRY, THE"
391,25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL
392,25Q281,EASTsWEST SCHOOL OF INTERNATIONAL STUDIES
393,25Q285,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL
394,25Q425,JOHN BOWNE HIGH SCHOOL
395,25Q460,FLUSHING HIGH SCHOOL
396,25Q467,FLUSHING YABC
397,25Q525,TOWNSEND HARRIS HIGH SCHOOL
398,25Q540,QUEENS ACADEMY HIGH SCHOOL
399,25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL
400,25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL
401,26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL
402,26Q430,FRANCIS LEWIS HIGH SCHOOL
403,26Q435,MARTIN VAN BUREN HIGH SCHOOL
404,26Q495,BAYSIDE HIGH SCHOOL
